,name,color,species,link
0,Fofu_1000,Blue,Nimmo,https://www.stuckpets.com/adopt/Fofu_1000
1,kris224,Blue,Nimmo,https://www.stuckpets.com/adopt/kris224
2,kris898,Blue,Nimmo,https://www.stuckpets.com/adopt/kris898
3,Rocker_85,Blue,Nimmo,https://www.stuckpets.com/adopt/Rocker_85
4,Snowdrop414,Blue,Nimmo,https://www.stuckpets.com/adopt/Snowdrop414
5,Sokka_Love,Blue,Nimmo,https://www.stuckpets.com/adopt/Sokka_Love
6,StAr_LiGhT751,Blue,Nimmo,https://www.stuckpets.com/adopt/StAr_LiGhT751
7,Sunburst901,Blue,Nimmo,https://www.stuckpets.com/adopt/Sunburst901
8,topherman,Blue,Nimmo,https://www.stuckpets.com/adopt/topherman
9,booo1,Green,Nimmo,https://www.stuckpets.com/adopt/booo1
10,krispyred,Green,Nimmo,https://www.stuckpets.com/adopt/krispyred
11,Lizzardala,Green,Nimmo,https://www.stuckpets.com/adopt/Lizzardala
12,Princess_Nimmo,Green,Nimmo,https://www.stuckpets.com/adopt/Princess_Nimmo
13,snowball_project,Green,Nimmo,https://www.stuckpets.com/adopt/snowball_project
14,sparklypeace,Green,Nimmo,https://www.stuckpets.com/adopt/sparklypeace
15,Spirit_Time,Green,Nimmo,https://www.stuckpets.com/adopt/Spirit_Time
16,starlight2366,Green,Nimmo,https://www.stuckpets.com/adopt/starlight2366
17,suki_lia,Green,Nimmo,https://www.stuckpets.com/adopt/suki_lia
18,Sunny_Dawne,Green,Nimmo,https://www.stuckpets.com/adopt/Sunny_Dawne
19,trypeace,Green,Nimmo,https://www.stuckpets.com/adopt/trypeace
20,cindersiscute,Red,Nimmo,https://www.stuckpets.com/adopt/cindersiscute
21,Corinna2,Red,Nimmo,https://www.stuckpets.com/adopt/Corinna2
22,Franswag,Red,Nimmo,https://www.stuckpets.com/adopt/Franswag
23,freak316,Red,Nimmo,https://www.stuckpets.com/adopt/freak316
24,Krishna551,Red,Nimmo,https://www.stuckpets.com/adopt/Krishna551
25,LogicConcentration,Red,Nimmo,https://www.stuckpets.com/adopt/LogicConcentration
26,miss_nimmo,Red,Nimmo,https://www.stuckpets.com/adopt/miss_nimmo
27,moelow,Red,Nimmo,https://www.stuckpets.com/adopt/moelow
28,princedustin,Red,Nimmo,https://www.stuckpets.com/adopt/princedustin
29,shirley01,Red,Nimmo,https://www.stuckpets.com/adopt/shirley01
30,snowfall_ice,Red,Nimmo,https://www.stuckpets.com/adopt/snowfall_ice
31,spinner111,Red,Nimmo,https://www.stuckpets.com/adopt/spinner111
32,Starry_Burst,Red,Nimmo,https://www.stuckpets.com/adopt/Starry_Burst
33,Sweet_41,Red,Nimmo,https://www.stuckpets.com/adopt/Sweet_41
34,Coconut__Lord,Yellow,Nimmo,https://www.stuckpets.com/adopt/Coconut__Lord
35,Krisnoke,Yellow,Nimmo,https://www.stuckpets.com/adopt/Krisnoke
36,kylie200,Yellow,Nimmo,https://www.stuckpets.com/adopt/kylie200
37,powersmax,Yellow,Nimmo,https://www.stuckpets.com/adopt/powersmax
38,spirit_Ace,Yellow,Nimmo,https://www.stuckpets.com/adopt/spirit_Ace
39,Sweet_love_Boy,Yellow,Nimmo,https://www.stuckpets.com/adopt/Sweet_love_Boy
40,dr_justice,Blue,Scorchio,https://www.stuckpets.com/adopt/dr_justice
41,krissmonkey,Blue,Scorchio,https://www.stuckpets.com/adopt/krissmonkey
42,miss_thea,Blue,Scorchio,https://www.stuckpets.com/adopt/miss_thea
43,Puffy_Joe,Blue,Scorchio,https://www.stuckpets.com/adopt/Puffy_Joe
44,snowfall557,Blue,Scorchio,https://www.stuckpets.com/adopt/snowfall557
45,sokka67,Blue,Scorchio,https://www.stuckpets.com/adopt/sokka67
46,spitfire921,Blue,Scorchio,https://www.stuckpets.com/adopt/spitfire921
47,staremmanuel,Blue,Scorchio,https://www.stuckpets.com/adopt/staremmanuel
48,Star_Lexy,Blue,Scorchio,https://www.stuckpets.com/adopt/Star_Lexy
49,sugrind,Blue,Scorchio,https://www.stuckpets.com/adopt/sugrind
50,tomahawk187,Blue,Scorchio,https://www.stuckpets.com/adopt/tomahawk187
51,Tonycell,Blue,Scorchio,https://www.stuckpets.com/adopt/Tonycell
